tag,patterns,patterns_prep,slang_prep,prep
about_chatbot,kamu itu siapa?,kamu itu siapa,kamu itu siapa,"['kamu', 'siapa']"
about_chatbot,kamu itu apa?,kamu itu apa,kamu itu apa,"['kamu', 'apa']"
about_chatbot,kamu itu apa sih?,kamu itu apa sih,kamu itu apa memang,"['kamu', 'apa', 'memang']"
about_chatbot,perkenalkan dirimu,perkenalkan dirimu,perkenalkan dirimu,"['kenal', 'diri']"
about_chatbot,kasih tau identitasmu,kasih tau identitasmu,kasih tahu identitasmu,"['kasih', 'tahu', 'identitas']"
about_chatbot,beritahu identitasmu,beritahu identitasmu,beritahu identitasmu,"['beritahu', 'identitas']"
about_chatbot,anda ini siapa?,anda ini siapa,anda ini siapa,"['ini', 'siapa']"
about_chatbot,boleh tahu identitasmu?,boleh tahu identitasmu,boleh tahu identitasmu,"['tahu', 'identitas']"
about_chatbot,bisa perkenalkan diri?,bisa perkenalkan diri,bisa perkenalkan diri,"['kenal', 'diri']"
about_chatbot,tolong perkenalkan dirimu,tolong perkenalkan dirimu,tolong perkenalkan dirimu,"['kenal', 'diri']"
about_chatbot,mohon perkenalkan diri,mohon perkenalkan diri,mohon perkenalkan diri,"['mohon', 'kenal', 'diri']"
about_chatbot,identitas anda?,identitas anda,identitas anda,['identitas']
about_chatbot,silakan perkenalkan diri,silakan perkenalkan diri,silakan perkenalkan diri,"['sila', 'kenal', 'diri']"
about_chatbot,dapatkah anda memperkenalkan diri?,dapatkah anda memperkenalkan diri,dapatkah anda memperkenalkan diri,"['anda', 'kenal', 'diri']"
about_chatbot,bisa jelaskan identitasmu?,bisa jelaskan identitasmu,bisa jelaskan identitasmu,"['jelas', 'identitas']"
about_chatbot,tolong jelaskan siapa dirimu,tolong jelaskan siapa dirimu,tolong jelaskan siapa dirimu,"['jelas', 'siapa', 'diri']"
about_chatbot,bisakah anda memperkenalkan diri?,bisakah anda memperkenalkan diri,bisakah anda memperkenalkan diri,"['anda', 'kenal', 'diri']"
about_chatbot,siapakah anda?,siapakah anda,siapakah anda,['siapa']
about_chatbot,boleh tahu siapa anda?,boleh tahu siapa anda,boleh tahu siapa anda,"['tahu', 'siapa']"
about_chatbot,bisa beritahu identitasmu?,bisa beritahu identitasmu,bisa beritahu identitasmu,"['beritahu', 'identitas']"
about_chatbot,mohon beritahu siapa anda,mohon beritahu siapa anda,mohon beritahu siapa anda,"['mohon', 'beritahu', 'siapa']"
about_chatbot,tolong beritahu identitasmu,tolong beritahu identitasmu,tolong beritahu identitasmu,"['beritahu', 'identitas']"
about_chatbot,bisa ceritakan tentang dirimu?,bisa ceritakan tentang dirimu,bisa ceritakan tentang dirimu,"['cerita', 'diri']"
about_chatbot,lu siapa sih?,lu siapa sih,kamu siapa memang,"['kamu', 'siapa', 'memang']"
about_chatbot,nama lu siapa?,nama lu siapa,nama kamu siapa,"['nama', 'kamu', 'siapa']"
about_chatbot,lu tuh siapa ya?,lu tuh siapa ya,kamu itu siapa iya,"['kamu', 'siapa', 'iya']"
about_chatbot,siapa sih lu?,siapa sih lu,siapa memang kamu,"['siapa', 'memang', 'kamu']"
about_chatbot,elu siapa?,elu siapa,kamu siapa,"['kamu', 'siapa']"
about_chatbot,lu siapa ya?,lu siapa ya,kamu siapa iya,"['kamu', 'siapa', 'iya']"
about_chatbot,ngomong-ngomong lu siapa?,ngomongngomong lu siapa,ngomongngomong kamu siapa,"['ngomongngomong', 'kamu', 'siapa']"
about_chatbot,btw lu siapa?,btw lu siapa,ngomong-ngomong kamu siapa,"['ngomongngomong', 'kamu', 'siapa']"
about_chatbot,eh lu siapa?,eh lu siapa,eh kamu siapa,"['eh', 'kamu', 'siapa']"
about_chatbot,lu tuh siapa sih sebenernya?,lu tuh siapa sih sebenernya,kamu itu siapa memang sebenarnya,"['kamu', 'siapa', 'memang', 'benar']"
about_chatbot,gw mau tau dong lu siapa,gw mau tau dong lu siapa,saya mau tahu dong kamu siapa,"['mau', 'tahu', 'dong', 'kamu', 'siapa']"
about_chatbot,kasih tau dong lu siapa,kasih tau dong lu siapa,kasih tahu dong kamu siapa,"['kasih', 'tahu', 'dong', 'kamu', 'siapa']"
about_chatbot,pengen tau nih lu siapa,pengen tau nih lu siapa,ingin tahu ini kamu siapa,"['tahu', 'kamu', 'siapa']"
about_chatbot,bisa kasih tau gak lu siapa?,bisa kasih tau gak lu siapa,bisa kasih tahu tidak kamu siapa,"['kasih', 'tahu', 'kamu', 'siapa']"
about_chatbot,ceritain dong lu siapa,ceritain dong lu siapa,ceritain dong kamu siapa,"['ceritain', 'dong', 'kamu', 'siapa']"
about_chatbot,spill dong lu siapa,spill dong lu siapa,spill dong kamu siapa,"['spill', 'dong', 'kamu', 'siapa']"
about_chatbot,lu siapa aja sih?,lu siapa aja sih,kamu siapa saja memang,"['kamu', 'siapa', 'memang']"
about_chatbot,kasih tau dong identitas lu,kasih tau dong identitas lu,kasih tahu dong identitas kamu,"['kasih', 'tahu', 'dong', 'identitas', 'kamu']"
about_chatbot,bisa jelasin gak lu siapa?,bisa jelasin gak lu siapa,bisa jelasin tidak kamu siapa,"['jelasin', 'kamu', 'siapa']"
about_chatbot,lu sebenernya siapa sih?,lu sebenernya siapa sih,kamu sebenarnya siapa memang,"['kamu', 'benar', 'siapa', 'memang']"
about_chatbot,jelaskan identitas Anda,jelaskan identitas Anda,jelaskan identitas Anda,"['jelas', 'identitas']"
about_chatbot,mohon perkenalan dirinya,mohon perkenalan dirinya,mohon perkenalan dirinya,"['mohon', 'kenal', 'diri']"
about_chatbot,boleh tau siapa ya?,boleh tau siapa ya,boleh tahu siapa iya,"['tahu', 'siapa', 'iya']"
about_chatbot,ini siapa ya yang saya ajak chat?,ini siapa ya yang saya ajak chat,ini siapa iya yang saya ajak chat,"['siapa', 'iya', 'saya', 'ajak', 'chat']"
about_chatbot,dengan siapa saya berbicara?,dengan siapa saya berbicara,dengan siapa saya berbicara,"['siapa', 'bicara']"
about_chatbot,boleh kenalan?,boleh kenalan,boleh kenalan,['kenal']
about_chatbot,saya sedang berbicara dengan siapa?,saya sedang berbicara dengan siapa,saya sedang berbicara dengan siapa,"['sedang', 'bicara', 'siapa']"
about_chatbot,lagi ngobrol sama siapa nih?,lagi ngobrol sama siapa nih,lagi ngobrol sama siapa ini,"['ngobrol', 'sama', 'siapa']"
about_chatbot,yang jawab ini siapa sih?,yang jawab ini siapa sih,yang jawab ini siapa memang,"['jawab', 'siapa', 'memang']"
about_chatbot,identity reveal dong,identity reveal dong,identity reveal dong,"['identity', 'reveal', 'dong']"
about_chatbot,kenalan dulu kali ya,kenalan dulu kali ya,kenalan dulu kali iya,"['kenal', 'dulu', 'kali', 'iya']"
about_chatbot,mau kenalan nih,mau kenalan nih,mau kenalan ini,"['mau', 'kenal']"
about_chatbot,ini botnya siapa ya?,ini botnya siapa ya,ini botnya siapa iya,"['bot', 'siapa', 'iya']"
about_chatbot,chatbot ini namanya siapa?,chatbot ini namanya siapa,chatbot ini namanya siapa,"['chatbot', 'nama', 'siapa']"
about_chatbot,ai ini siapa namanya?,ai ini siapa namanya,ai ini siapa namanya,"['ai', 'siapa', 'nama']"
about_chatbot,boleh tau nama kamu?,boleh tau nama kamu,boleh tahu nama kamu,"['tahu', 'nama', 'kamu']"
about_chatbot,namanya siapa nih?,namanya siapa nih,namanya siapa ini,"['nama', 'siapa']"
about_chatbot,ngomong sama siapa ya?,ngomong sama siapa ya,bicara sama siapa iya,"['bicara', 'sama', 'siapa', 'iya']"
about_chatbot,ini robot apa ya?,ini robot apa ya,ini robot apa iya,"['robot', 'apa', 'iya']"
about_chatbot,sistem ini namanya apa?,sistem ini namanya apa,sistem ini namanya apa,"['sistem', 'nama', 'apa']"
about_chatbot,program ini siapa?,program ini siapa,program ini siapa,"['program', 'siapa']"
about_chatbot,aplikasi ini apa namanya?,aplikasi ini apa namanya,aplikasi ini apa namanya,"['aplikasi', 'apa', 'nama']"
about_chatbot,bot ini siapa sih?,bot ini siapa sih,bot ini siapa memang,"['bot', 'siapa', 'memang']"
about_chatbot,asisten ini siapa?,asisten ini siapa,asisten ini siapa,"['asisten', 'siapa']"
about_chatbot,sama siapa nih ngobrolnya?,sama siapa nih ngobrolnya,sama siapa ini ngobrolnya,"['sama', 'siapa', 'ngobrolnya']"
about_chatbot,yang balas chat ini siapa?,yang balas chat ini siapa,yang balas chat ini siapa,"['balas', 'chat', 'siapa']"
about_chatbot,ini assistant apa ya?,ini assistant apa ya,ini assistant apa iya,"['assistant', 'apa', 'iya']"
about_chatbot,lagi chat sama siapa ini?,lagi chat sama siapa ini,lagi chat sama siapa ini,"['chat', 'sama', 'siapa']"
about_chatbot,ai-nya siapa nih?,ainya siapa nih,ainya siapa ini,"['ainya', 'siapa']"
about_chatbot,botnya siapa ya ini?,botnya siapa ya ini,botnya siapa iya ini,"['bot', 'siapa', 'iya']"
about_chatbot,dengan siapa ini ya bicara?,dengan siapa ini ya bicara,dengan siapa ini iya bicara,"['siapa', 'iya', 'bicara']"
about_chatbot,nama asisten ini siapa ya?,nama asisten ini siapa ya,nama asisten ini siapa iya,"['nama', 'asisten', 'siapa', 'iya']"
about_chatbot,carbot itu siapa sih?,carbot itu siapa sih,carbot itu siapa memang,"['carbot', 'siapa', 'memang']"
about_chatbot,"halo, bisa perkenalkan diri?",halo bisa perkenalkan diri,halo bisa perkenalkan diri,"['halo', 'kenal', 'diri']"
about_chatbot,sedang berbicara dengan siapa ya?,sedang berbicara dengan siapa ya,sedang berbicara dengan siapa iya,"['sedang', 'bicara', 'siapa', 'iya']"
about_chatbot,mohon perkenalan singkat,mohon perkenalan singkat,mohon perkenalan singkat,"['mohon', 'kenal', 'singkat']"
about_chatbot,siapakah carbot?,siapakah carbot,siapakah carbot,"['siapa', 'carbot']"
about_chatbot,apakah anda carbot?,apakah anda carbot,apakah anda carbot,"['anda', 'carbot']"
about_chatbot,anda ini carbot ya?,anda ini carbot ya,anda ini carbot iya,"['ini', 'carbot', 'iya']"
about_chatbot,saya sedang chat dengan siapa?,saya sedang chat dengan siapa,saya sedang chat dengan siapa,"['sedang', 'chat', 'siapa']"
about_chatbot,bisa dijelaskan identitas anda?,bisa dijelaskan identitas anda,bisa dijelaskan identitas anda,"['jelas', 'identitas']"
about_chatbot,boleh tahu ini siapa?,boleh tahu ini siapa,boleh tahu ini siapa,"['tahu', 'siapa']"
about_chatbot,kamu carbot bukan?,kamu carbot bukan,kamu carbot bukan,"['kamu', 'carbot', 'bukan']"
about_chatbot,yang membalas ini carbot?,yang membalas ini carbot,yang membalas ini carbot,"['balas', 'carbot']"
about_chatbot,asisten ini carbot ya?,asisten ini carbot ya,asisten ini carbot iya,"['asisten', 'carbot', 'iya']"
about_chatbot,carbot itu apa ya?,carbot itu apa ya,carbot itu apa iya,"['carbot', 'apa', 'iya']"
about_chatbot,fungsi carbot apa?,fungsi carbot apa,fungsi carbot apa,"['fungsi', 'carbot', 'apa']"
about_chatbot,peran carbot apa?,peran carbot apa,peran carbot apa,"['peran', 'carbot', 'apa']"
about_chatbot,bisakah carbot memperkenalkan diri?,bisakah carbot memperkenalkan diri,bisakah carbot memperkenalkan diri,"['carbot', 'kenal', 'diri']"
about_chatbot,tolong jelaskan tentang carbot,tolong jelaskan tentang carbot,tolong jelaskan tentang carbot,"['jelas', 'carbot']"
about_chatbot,bisa cerita tentang carbot?,bisa cerita tentang carbot,bisa cerita tentang carbot,"['cerita', 'carbot']"
about_chatbot,"halo carbot, bisa perkenalan?",halo carbot bisa perkenalan,halo carbot bisa perkenalan,"['halo', 'carbot', 'kenal']"
about_chatbot,ini asisten tentang mobil ya?,ini asisten tentang mobil ya,ini asisten tentang mobil iya,"['asisten', 'mobil', 'iya']"
about_chatbot,kamu asisten mobil ya?,kamu asisten mobil ya,kamu asisten mobil iya,"['kamu', 'asisten', 'mobil', 'iya']"
about_chatbot,boleh tahu lebih tentang carbot?,boleh tahu lebih tentang carbot,boleh tahu lebih tentang carbot,"['tahu', 'lebih', 'carbot']"
about_chatbot,carbot itu robot apa ya?,carbot itu robot apa ya,carbot itu robot apa iya,"['carbot', 'robot', 'apa', 'iya']"
about_chatbot,dengan siapa saya berinteraksi?,dengan siapa saya berinteraksi,dengan siapa saya berinteraksi,"['siapa', 'interaksi']"
about_chatbot,sistem ini bernama carbot?,sistem ini bernama carbot,sistem ini bernama carbot,"['sistem', 'nama', 'carbot']"
about_chatbot,apakah ini chatbot otomotif?,apakah ini chatbot otomotif,apakah ini chatbot otomotif,"['ini', 'chatbot', 'otomotif']"
about_chatbot,bisa dijelaskan fungsi carbot?,bisa dijelaskan fungsi carbot,bisa dijelaskan fungsi carbot,"['jelas', 'fungsi', 'carbot']"
about_chatbot,carbot itu asisten apa?,carbot itu asisten apa,carbot itu asisten apa,"['carbot', 'asisten', 'apa']"
about_chatbot,mohon informasi tentang carbot,mohon informasi tentang carbot,mohon informasi tentang carbot,"['mohon', 'informasi', 'carbot']"
about_chatbot,sedang chat dengan carbot ya?,sedang chat dengan carbot ya,sedang chat dengan carbot iya,"['sedang', 'chat', 'carbot', 'iya']"
about_chatbot,ini benar carbot kan?,ini benar carbot kan,ini benar carbot kan,"['benar', 'carbot', 'kan']"
about_chatbot,kamu asisten otomotif ya?,kamu asisten otomotif ya,kamu asisten otomotif iya,"['kamu', 'asisten', 'otomotif', 'iya']"
about_chatbot,pengen tau dong tentang carbot,pengen tau dong tentang carbot,ingin tahu dong tentang carbot,"['tahu', 'dong', 'carbot']"
about_chatbot,apa sih fungsi dan kegunaan carbot?,apa sih fungsi dan kegunaan carbot,apa memang fungsi dan kegunaan carbot,"['apa', 'memang', 'fungsi', 'guna', 'carbot']"
about_chatbot,carbot itu chatbot khusus mobil ya?,carbot itu chatbot khusus mobil ya,carbot itu chatbot khusus mobil iya,"['carbot', 'chatbot', 'khusus', 'mobil', 'iya']"
about_chatbot,bisa cerita lebih detail tentang carbot?,bisa cerita lebih detail tentang carbot,bisa cerita lebih detail tentang carbot,"['cerita', 'lebih', 'detail', 'carbot']"
about_chatbot,saya ingin mengetahui lebih lanjut tentang carbot,saya ingin mengetahui lebih lanjut tentang carbot,saya ingin mengetahui lebih lanjut tentang carbot,"['ingin', 'tahu', 'lebih', 'lanjut', 'carbot']"
about_chatbot,carbot diciptakan untuk apa ya?,carbot diciptakan untuk apa ya,carbot diciptakan untuk apa iya,"['carbot', 'cipta', 'apa', 'iya']"
about_chatbot,mau nanya dong tentang carbot,mau nanya dong tentang carbot,mau bertanya dong tentang carbot,"['mau', 'tanya', 'dong', 'carbot']"
car_recommendation,bagaimana cara merawat mobil yang benar?,bagaimana cara merawat mobil yang benar,bagaimana cara merawat mobil yang benar,"['bagaimana', 'cara', 'rawat', 'mobil', 'benar']"
car_recommendation,apa saja tips perawatan mobil harian?,apa saja tips perawatan mobil harian,apa saja tips perawatan mobil harian,"['apa', 'tips', 'awat', 'mobil', 'hari']"
car_recommendation,mohon informasi tentang maintenance mobil,mohon informasi tentang maintenance mobil,mohon informasi tentang maintenance mobil,"['mohon', 'informasi', 'maintenance', 'mobil']"
car_recommendation,cara menjaga kondisi mobil tetap prima?,cara menjaga kondisi mobil tetap prima,cara menjaga kondisi mobil tetap prima,"['cara', 'jaga', 'kondisi', 'mobil', 'tetap', 'prima']"
car_recommendation,bagaimana merawat mesin mobil dengan baik?,bagaimana merawat mesin mobil dengan baik,bagaimana merawat mesin mobil dengan baik,"['bagaimana', 'rawat', 'mesin', 'mobil', 'baik']"
car_recommendation,tips mencegah kerusakan pada mobil?,tips mencegah kerusakan pada mobil,tips mencegah kerusakan pada mobil,"['tips', 'cegah', 'rusa', 'mobil']"
car_recommendation,apa saja yang perlu dicek rutin pada mobil?,apa saja yang perlu dicek rutin pada mobil,apa saja yang perlu dicek rutin pada mobil,"['apa', 'yang', 'perlu', 'cek', 'rutin', 'mobil']"
car_recommendation,bagaimana cara membersihkan mobil yang tepat?,bagaimana cara membersihkan mobil yang tepat,bagaimana cara membersihkan mobil yang tepat,"['bagaimana', 'cara', 'bersih', 'mobil', 'tepat']"
car_recommendation,berapa kali sebaiknya servis mobil?,berapa kali sebaiknya servis mobil,berapa kali sebaiknya servis mobil,"['berapa', 'kali', 'baik', 'servis', 'mobil']"
car_recommendation,cara memperpanjang umur mobil gimana?,cara memperpanjang umur mobil gimana,cara memperpanjang umur mobil bagaimana,"['cara', 'panjang', 'umur', 'mobil', 'bagaimana']"
car_recommendation,apa yang harus diperhatikan dalam perawatan mobil?,apa yang harus diperhatikan dalam perawatan mobil,apa yang harus diperhatikan dalam perawatan mobil,"['apa', 'harus', 'perhati', 'awat', 'mobil']"
car_recommendation,mohon penjelasan tentang servis berkala mobil,mohon penjelasan tentang servis berkala mobil,mohon penjelasan tentang servis berkala mobil,"['mohon', 'jelas', 'servis', 'kala', 'mobil']"
car_recommendation,gimana sih cara ngrawat mobil biar awet?,gimana sih cara ngrawat mobil biar awet,bagaimana memang cara merawat mobil agar awet,"['bagaimana', 'memang', 'cara', 'rawat', 'mobil', 'awet']"
car_recommendation,perawatan apa aja yang wajib buat mobil?,perawatan apa aja yang wajib buat mobil,perawatan apa saja yang wajib buat mobil,"['awat', 'apa', 'yang', 'wajib', 'buat', 'mobil']"
car_recommendation,kapan harus ganti oli mobil?,kapan harus ganti oli mobil,kapan harus ganti oli mobil,"['kapan', 'ganti', 'oli', 'mobil']"
car_recommendation,mobil harus dicuci berapa kali sebulan?,mobil harus dicuci berapa kali sebulan,mobil harus dicuci berapa kali sebulan,"['mobil', 'cuci', 'berapa', 'kali', 'bulan']"
car_recommendation,cara ngecek kondisi ban mobil gimana?,cara ngecek kondisi ban mobil gimana,cara ngecek kondisi ban mobil bagaimana,"['cara', 'ngecek', 'kondisi', 'ban', 'mobil', 'bagaimana']"
car_recommendation,tips biar AC mobil tetep dingin?,tips biar AC mobil tetep dingin,tips agar AC mobil tetep dingin,"['tips', 'ac', 'mobil', 'tetep', 'dingin']"
car_recommendation,gimana cara nyimpen mobil yang bener?,gimana cara nyimpen mobil yang bener,bagaimana cara nyimpen mobil yang benar,"['bagaimana', 'cara', 'nyimpen', 'mobil', 'benar']"
car_recommendation,kapan harus ganti filter udara mobil?,kapan harus ganti filter udara mobil,kapan harus ganti filter udara mobil,"['kapan', 'ganti', 'filter', 'udara', 'mobil']"
car_recommendation,cara ngecek aki mobil yang bener gimana?,cara ngecek aki mobil yang bener gimana,cara ngecek aki mobil yang benar bagaimana,"['cara', 'ngecek', 'aki', 'mobil', 'benar', 'bagaimana']"
car_recommendation,berapa lama sekali harus tune up?,berapa lama sekali harus tune up,berapa lama sekali harus tune up,"['berapa', 'lama', 'sekali', 'tune', 'up']"
car_recommendation,gimana cara biar mobil gak cepet rusak?,gimana cara biar mobil gak cepet rusak,bagaimana cara agar mobil tidak cepat rusak,"['bagaimana', 'cara', 'mobil', 'cepat', 'rusak']"
car_recommendation,mobil mesti diservice tiap berapa bulan?,mobil mesti diservice tiap berapa bulan,mobil mesti diservice tiap berapa bulan,"['mobil', 'mesti', 'diservice', 'tiap', 'berapa', 'bulan']"
car_recommendation,cara mencegah karat pada mobil?,cara mencegah karat pada mobil,cara mencegah karat pada mobil,"['cara', 'cegah', 'karat', 'mobil']"
car_recommendation,tips merawat cat mobil biar tetep kinclong?,tips merawat cat mobil biar tetep kinclong,tips merawat cat mobil agar tetep kinclong,"['tips', 'rawat', 'cat', 'mobil', 'tetep', 'kinclong']"
car_recommendation,gimana cara ngecek rem mobil?,gimana cara ngecek rem mobil,bagaimana cara ngecek rem mobil,"['bagaimana', 'cara', 'ngecek', 'rem', 'mobil']"
car_recommendation,cara ngurusin interior mobil yang bener?,cara ngurusin interior mobil yang bener,cara ngurusin interior mobil yang benar,"['cara', 'ngurusin', 'interior', 'mobil', 'benar']"
car_recommendation,berapa km sekali ganti kampas rem?,berapa km sekali ganti kampas rem,berapa kamu sekali ganti kampas rem,"['berapa', 'kamu', 'sekali', 'ganti', 'kampas', 'rem']"
car_recommendation,tips merawat transmisi mobil?,tips merawat transmisi mobil,tips merawat transmisi mobil,"['tips', 'rawat', 'transmisi', 'mobil']"
car_recommendation,cara ngecek radiator mobil gimana?,cara ngecek radiator mobil gimana,cara ngecek radiator mobil bagaimana,"['cara', 'ngecek', 'radiator', 'mobil', 'bagaimana']"
car_recommendation,apa aja yang perlu diperhatiin pas cuci mobil?,apa aja yang perlu diperhatiin pas cuci mobil,apa saja yang perlu diperhatiin pas cuci mobil,"['apa', 'yang', 'perlu', 'diperhatiin', 'pas', 'cuci', 'mobil']"
car_recommendation,gimana cara ngrawat jok mobil?,gimana cara ngrawat jok mobil,bagaimana cara merawat jok mobil,"['bagaimana', 'cara', 'rawat', 'jok', 'mobil']"
car_recommendation,tips merawat velg mobil biar tetep bagus?,tips merawat velg mobil biar tetep bagus,tips merawat velg mobil agar tetep bagus,"['tips', 'rawat', 'velg', 'mobil', 'tetep', 'bagus']"
car_recommendation,cara ngecek kopling mobil yang bener?,cara ngecek kopling mobil yang bener,cara ngecek kopling mobil yang benar,"['cara', 'ngecek', 'kopling', 'mobil', 'benar']"
car_recommendation,berapa lama sekali ganti filter bensin?,berapa lama sekali ganti filter bensin,berapa lama sekali ganti filter bensin,"['berapa', 'lama', 'sekali', 'ganti', 'filter', 'bensin']"
car_recommendation,tips merawat kaca mobil biar gak baret?,tips merawat kaca mobil biar gak baret,tips merawat kaca mobil agar tidak baret,"['tips', 'rawat', 'kaca', 'mobil', 'tidak', 'baret']"
car_recommendation,cara ngecek suspensi mobil?,cara ngecek suspensi mobil,cara ngecek suspensi mobil,"['cara', 'ngecek', 'suspensi', 'mobil']"
car_recommendation,gimana cara biar mobil tetep nyaman?,gimana cara biar mobil tetep nyaman,bagaimana cara agar mobil tetep nyaman,"['bagaimana', 'cara', 'mobil', 'tetep', 'nyaman']"
car_recommendation,tips merawat sistem kelistrikan mobil?,tips merawat sistem kelistrikan mobil,tips merawat sistem kelistrikan mobil,"['tips', 'rawat', 'sistem', 'listrik', 'mobil']"
car_recommendation,cara membersihkan mesin mobil yang aman?,cara membersihkan mesin mobil yang aman,cara membersihkan mesin mobil yang aman,"['cara', 'bersih', 'mesin', 'mobil', 'aman']"
car_recommendation,berapa km sekali balancing ban?,berapa km sekali balancing ban,berapa kamu sekali balancing ban,"['berapa', 'kamu', 'sekali', 'balancing', 'ban']"
car_recommendation,tips merawat dashboard mobil?,tips merawat dashboard mobil,tips merawat dashboard mobil,"['tips', 'rawat', 'dashboard', 'mobil']"
car_recommendation,cara ngecek sistem pengereman?,cara ngecek sistem pengereman,cara ngecek sistem pengereman,"['cara', 'ngecek', 'sistem', 'rem']"
car_recommendation,gimana cara ngrawat mobil yang jarang dipake?,gimana cara ngrawat mobil yang jarang dipake,bagaimana cara merawat mobil yang jarang dipake,"['bagaimana', 'cara', 'rawat', 'mobil', 'jarang', 'dipake']"
car_recommendation,tips mencegah overheat pada mobil?,tips mencegah overheat pada mobil,tips mencegah overheat pada mobil,"['tips', 'cegah', 'overheat', 'mobil']"
car_recommendation,cara membersihkan karpet mobil?,cara membersihkan karpet mobil,cara membersihkan karpet mobil,"['cara', 'bersih', 'karpet', 'mobil']"
car_recommendation,berapa lama sekali ganti wiper?,berapa lama sekali ganti wiper,berapa lama sekali ganti wiper,"['berapa', 'lama', 'sekali', 'ganti', 'wiper']"
car_recommendation,tips merawat power steering?,tips merawat power steering,tips merawat power steering,"['tips', 'rawat', 'power', 'steering']"
car_recommendation,cara ngecek timing belt?,cara ngecek timing belt,cara ngecek timing belt,"['cara', 'ngecek', 'timing', 'belt']"
car_recommendation,gimana cara nyimpen mobil jangka panjang?,gimana cara nyimpen mobil jangka panjang,bagaimana cara nyimpen mobil jangka panjang,"['bagaimana', 'cara', 'nyimpen', 'mobil', 'jangka', 'panjang']"
car_recommendation,tips merawat sistem bahan bakar?,tips merawat sistem bahan bakar,tips merawat sistem bahan bakar,"['tips', 'rawat', 'sistem', 'bahan', 'bakar']"
car_recommendation,cara membersihkan AC mobil?,cara membersihkan AC mobil,cara membersihkan AC mobil,"['cara', 'bersih', 'ac', 'mobil']"
car_recommendation,berapa km sekali mobil harus diservis?,berapa km sekali mobil harus diservis,berapa kamu sekali mobil harus diservis,"['berapa', 'kamu', 'sekali', 'mobil', 'servis']"
car_recommendation,tips merawat mobil saat musim hujan?,tips merawat mobil saat musim hujan,tips merawat mobil saat musim hujan,"['tips', 'rawat', 'mobil', 'musim', 'hujan']"
car_recommendation,cara ngecek oli transmisi?,cara ngecek oli transmisi,cara ngecek oli transmisi,"['cara', 'ngecek', 'oli', 'transmisi']"
car_recommendation,gimana cara biar mobil irit bensin?,gimana cara biar mobil irit bensin,bagaimana cara agar mobil hemat bensin,"['bagaimana', 'cara', 'mobil', 'hemat', 'bensin']"
car_recommendation,tips merawat mobil saat musim panas?,tips merawat mobil saat musim panas,tips merawat mobil saat musim panas,"['tips', 'rawat', 'mobil', 'musim', 'panas']"
car_recommendation,cara membersihkan velg yang benar?,cara membersihkan velg yang benar,cara membersihkan velg yang benar,"['cara', 'bersih', 'velg', 'benar']"
car_recommendation,berapa lama sekali ganti coolant?,berapa lama sekali ganti coolant,berapa lama sekali ganti coolant,"['berapa', 'lama', 'sekali', 'ganti', 'coolant']"
car_recommendation,cara ngrawat mobil biar ga cepet tua?,cara ngrawat mobil biar ga cepet tua,cara merawat mobil agar tidak cepat tua,"['cara', 'rawat', 'mobil', 'tidak', 'cepat', 'tua']"
car_recommendation,tips merawat mobil matic?,tips merawat mobil matic,tips merawat mobil matic,"['tips', 'rawat', 'mobil', 'matic']"
car_recommendation,gimana cara cek kondisi mobil secara umum?,gimana cara cek kondisi mobil secara umum,bagaimana cara cek kondisi mobil secara umum,"['bagaimana', 'cara', 'cek', 'kondisi', 'mobil', 'cara', 'umum']"
car_recommendation,cara membersihkan knalpot mobil?,cara membersihkan knalpot mobil,cara membersihkan knalpot mobil,"['cara', 'bersih', 'knalpot', 'mobil']"
car_recommendation,tips merawat mobil diesel?,tips merawat mobil diesel,tips merawat mobil diesel,"['tips', 'rawat', 'mobil', 'diesel']"
car_recommendation,berapa lama sekali ganti seal?,berapa lama sekali ganti seal,berapa lama sekali ganti seal,"['berapa', 'lama', 'sekali', 'ganti', 'seal']"
car_recommendation,cara ngecek sistem pembuangan?,cara ngecek sistem pembuangan,cara ngecek sistem pembuangan,"['cara', 'ngecek', 'sistem', 'buang']"
car_recommendation,gimana cara rawat mobil biar awet?,gimana cara rawat mobil biar awet,bagaimana cara rawat mobil agar awet,"['bagaimana', 'cara', 'rawat', 'mobil', 'awet']"
car_recommendation,tips mencegah korosi pada mobil?,tips mencegah korosi pada mobil,tips mencegah korosi pada mobil,"['tips', 'cegah', 'korosi', 'mobil']"
car_recommendation,cara merawat mobil yang efektif?,cara merawat mobil yang efektif,cara merawat mobil yang efektif,"['cara', 'rawat', 'mobil', 'efektif']"
car_recommendation,berapa lama sekali poles mobil?,berapa lama sekali poles mobil,berapa lama sekali poles mobil,"['berapa', 'lama', 'sekali', 'poles', 'mobil']"
car_recommendation,cara membersihkan ruang mesin?,cara membersihkan ruang mesin,cara membersihkan ruang mesin,"['cara', 'bersih', 'ruang', 'mesin']"
car_recommendation,"carbot, tips perawatan mobil diesel bagaimana?",carbot tips perawatan mobil diesel bagaimana,carbot tips perawatan mobil diesel bagaimana,"['carbot', 'tips', 'awat', 'mobil', 'diesel', 'bagaimana']"
car_recommendation,"carbot, bagaimana cara merawat mesin diesel ya?",carbot bagaimana cara merawat mesin diesel ya,carbot bagaimana cara merawat mesin diesel iya,"['carbot', 'bagaimana', 'cara', 'rawat', 'mesin', 'diesel', 'iya']"
